id	kind	name	difficulty	fan	Vo	Da	Vi	Me	Sp	love	bonus
1	オーディション	ビギナーズ！	1	2000	10	9	9	9	0	0	Voアピール3
2	ライブ	エントリーライブ	1	0	30	30	30	30	30	5	エントリーライブ成功
3	オーディション	探索！旬なアイドル大百科	2	2000	9	9	11	9	0	0	Viアピール3
4	オーディション	明日のアイドル一番星	1	5000	9	10	9	9	0	0	Da+30%
5	オーディション	歌ウンジャNIGHT	2	5000	12	9	9	9	0	0	Vo+30%
6	オーディション	アイドル十八番うた自慢	8	14000	21	9	9	9	0	0	Voアピール5
7	オーディション	とどけ！オトメ☆ファンファーレ	3	5000	9	9	14	9	0	0	Vi+30%
8	オーディション	フェイバリットに煌めいて♥	8	14000	9	21	9	9	0	0	Daアピール3
9	オーディション	大捜索！アイドル百科	2	2000	9	12	9	9	0	0	Voアピール4
10	オーディション	爆アド街角天国	3	2000	9	9	13	9	0	0	Viアピール4
11	オーディション	今がキラキラ！思いッきりアイドル	5	15000	10	18	10	10	0	0	Da+40%
12	ライブ	Rhythmic Diva	10	0	25	10	10	10	29	1	Rythmic Diva
13	オーディション	ヒートチャートX	5	6000	17	9	9	9	0	0	Daアピール4
14	オーディション	NEW BE@T	6	20000	11	11	21	11	0	0	Vi+40%
15	オーディション	ハッピー☆元気Show☆パーリータイム	7	25000	11	23	11	11	0	0	リアクション回避+10%
16	オーディション	アイドル☆ウォー！	6	8000	9	19	9	9	0	0	Viアピール5
17	オーディション	夕方ワイド　アイドル一番！	8	35000	26	11	11	11	0	0	Vo+40%
18	ライブ	スマイルアリーナ	15	0	36	11	11	11	41	1	スマイルアリーナ
19	オーディション	24:05pm	7	10000	10	21	10	10	0	0	Daアピール5
20	オーディション	HOPPING JAM	10	50000	12	31	12	12	0	0	Da+50%
21	オーディション	iDOLBuffet アイドルビュッフェ	11	65000	13	13	33	13	0	0	Vi+50%
22	ライブ	Dreaming My Way	15	0	11	11	37	11	43	1	Dreaming My Way
23	オーディション	月曜日は出張中	8	14000	10	10	24	10	0	0	Voアピール6
24	オーディション	POP-ON!	12	75000	37	13	13	13	0	0	Vo+50%
25	オーディション	SPOT LIGHTのせいにして・・・	13	85000	14	14	39	14	0	0	Vo+60%
26	ライブ	TOP VOCALIST	12	0	32	10	10	10	37	1	New Face! TOP VOCALIST
27	ライブ	TOP DANCER	12	0	10	32	10	10	37	1	New Face! TOP DANCER
28	ライブ	TOP EXPRESSER	12	0	10	10	32	10	37	1	New Face! TOP EXPRESSER
29	ライブ	ラブレターのAnswer──	15	0	11	45	11	11	45	1	ラブレターのAnswer──
30	オーディション	踊っていいとも？ 増刊号	14	100000	43	14	14	14	0	0	Da+60%
31	オーディション	O・NE・GA・I マリオネットガール	9	18000	10	27	10	10	0	0	Daアピール6
32	ライブ	なんどでも唄おう	17	0	44	11	11	11	51	1	なんどでも唄おう
33	オーディション	アイドルの女神様	16	130000	15	15	49	15	0	0	Vi+60%
34	オーディション	Sweet Sweet Live Time	11	26000	32	10	10	10	0	0	Voアピール7
35	ライブ	トップスターは1曲だけ	17	0	11	45	11	11	52	1	トップスターは1曲だけ
36	オーディション	LET'S SAY HELLO!!	17	145000	52	16	16	16	0	0	Vo+70%
37	オーディション	ステージあったまってますか？	12	30000	16	16	35	16	0	0	Viアピール6
38	ライブ	流星スターランキング	18	0	12	12	49	12	57	1	流星スターランキング
39	オーディション	オールアイドル感謝FESTIVAL	19	185000	17	60	17	17	0	0	Da+70%
40	オーディション	HIGH POWER NO LIMIT!!	13	34000	11	11	38	11	0	0	VoDaViアピール7
41	ライブ	なないろ歌合戦	20	0	54	12	12	12	64	1	なないろ歌合戦
42	オーディション	THE LEGEND	19	185000	62	17	17	17	0	0	Vi+70%
43	オーディション	七彩メモリーズ	19	185000	17	17	62	17	0	0	VoDaVi+60%&思い出ゲージ+10%
44	オーディション	YEAH! YEAH! MUSIC SUNDAY	19	74000	12	54	12	12	0	0	Exアピール7
45	オーディション	#プライムアイドル	19	74000	12	12	54	12	0	0	Viアピール7
46	オーディション	お料理アイドルごはん	19	74000	55	12	12	12	0	0	Daアピール7
47	ライブ	週刊プリズムメロディーズ	20	0	12	57	12	12	67	1	週刊プリズムメロディーズ
48	ライブ	TOP SONGS	20	0	12	12	58	12	68	1	TOP SONGS
49	オーディション	歌姫楽宴	20	200000	18	68	18	18	0	0	VoDaVi+65%&思い出ゲージ+15%
50	ライブ	エキシビションマッチ	20	0	100	100	100	100	100	10	エキシビションマッチ成功
